ML-KEM-768,decap,1654710,0
ML-KEM-1024,keypair,1922453,0
ML-KEM-1024,encap,2144286,0
ML-KEM-1024,decap,2462176,0
HQC-128,keypair,40390583,0
HQC-128,encap,81676916,0
HQC-128,decap,126402584,0
HQC-192,keypair,123225565,0
HQC-192,encap,247905472,0
HQC-192,decap,376597572,0
HQC-256,keypair,225368363,0
HQC-256,encap,453322424,0
HQC-256,decap,691789135,0
ML-DSA-44,keypair,2756288,0
ML-DSA-44,sign,4623882,0
ML-DSA-44,verify,3418304,0
ML-DSA-65,keypair,4732913,0
ML-DSA-65,sign,14198164,0
ML-DSA-65,verify,5265207,0
ML-DSA-87,keypair,7901400,0
ML-DSA-87,sign,16413944,0
ML-DSA-87,verify,8570573,0
Falcon-512,keypair,137876083,0
Falcon-512,sign,61203382,0
Falcon-512,verify,1504322,0
Falcon-1024,keypair,1002046193,0
Falcon-1024,sign,134524484,0
Falcon-1024,verify,2376234,0
ML-KEM-512,keypair,814025,0
ML-KEM-512,encap,884489,0
ML-KEM-512,decap,1081885,0
ML-KEM-768,keypair,1240197,0
ML-KEM-768,encap,1412570,0
ML-KEM-768,decap,1654624,0
ML-KEM-1024,keypair,1919864,0
ML-KEM-1024,encap,2144222,0
ML-KEM-1024,decap,2464876,0
HQC-128,keypair,40391530,0
HQC-128,encap,81674231,0
HQC-128,decap,126405891,0
HQC-192,keypair,123226525,0
HQC-192,encap,247912893,0
HQC-192,decap,376598400,0
HQC-256,keypair,225358508,0
HQC-256,encap,453317578,0
HQC-256,decap,691786931,0
ML-DSA-44,keypair,2773113,0
ML-DSA-44,sign,7219901,0
ML-DSA-44,verify,3424039,0
ML-DSA-65,keypair,4734529,0
ML-DSA-65,sign,8846738,0
ML-DSA-65,verify,5278708,0
ML-DSA-87,keypair,7937674,0
ML-DSA-87,sign,10736612,0
ML-DSA-87,verify,8578845,0
Falcon-512,keypair,345273184,0
Falcon-512,sign,61451061,0
Falcon-512,verify,1507279,0
Falcon-1024,keypair,1289433450,0
Falcon-1024,sign,134810529,0
Falcon-1024,verify,2377853,0
ML-KEM-512,keypair,800368,0
ML-KEM-512,encap,893139,0
ML-KEM-512,decap,1082519,0
ML-KEM-768,keypair,1234864,0
ML-KEM-768,encap,1409819,0
ML-KEM-768,decap,1654613,0
ML-KEM-1024,keypair,1922801,0
ML-KEM-1024,encap,2151258,0
ML-KEM-1024,decap,2466279,0
HQC-128,keypair,40389460,0
HQC-128,encap,81672028,0
HQC-128,decap,126402022,0
HQC-192,keypair,123226959,0
HQC-192,encap,247906336,0
HQC-192,decap,376600889,0
HQC-256,keypair,225362071,0
HQC-256,encap,453323289,0
HQC-256,decap,691790532,0
ML-DSA-44,keypair,2748806,0
ML-DSA-44,sign,6137531,0
ML-DSA-44,verify,3421485,0
ML-DSA-65,keypair,4731920,0
ML-DSA-65,sign,19850724,0
ML-DSA-65,verify,5269063,0
ML-DSA-87,keypair,7943061,0
ML-DSA-87,sign,10731772,0
ML-DSA-87,verify,8569903,0
Falcon-512,keypair,266053019,0
Falcon-512,sign,61272281,0
Falcon-512,verify,1509050,0
Falcon-1024,keypair,911599732,0
Falcon-1024,sign,134505786,0
Falcon-1024,verify,2369690,0
ML-KEM-512,keypair,801609,0
ML-KEM-512,encap,892279,0
ML-KEM-512,decap,1085058,0
ML-KEM-768,keypair,1252267,0
ML-KEM-768,encap,1409490,0
ML-KEM-768,decap,1651888,0
ML-KEM-1024,keypair,1922388,0
ML-KEM-1024,encap,2147324,0
ML-KEM-1024,decap,2461326,0
HQC-128,keypair,40395867,0
HQC-128,encap,81670222,0
HQC-128,decap,126400059,0
HQC-192,keypair,123228186,0
HQC-192,encap,247914571,0
HQC-192,decap,376595613,0
HQC-256,keypair,225363305,0
HQC-256,encap,453320163,0
HQC-256,decap,691790426,0
ML-DSA-44,keypair,2787502,0
ML-DSA-44,sign,10045302,0
ML-DSA-44,verify,3422356,0
ML-DSA-65,keypair,4735573,0
ML-DSA-65,sign,6850830,0
ML-DSA-65,verify,5276008,0
ML-DSA-87,keypair,7900000,0
ML-DSA-87,sign,13569880,0
ML-DSA-87,verify,8582075,0
Falcon-512,keypair,286967609,0
Falcon-512,sign,61448425,0
Falcon-512,verify,1507374,0
Falcon-1024,keypair,453955139,0
Falcon-1024,sign,134557030,0
Falcon-1024,verify,2372324,0
ML-KEM-512,keypair,803121,0
ML-KEM-512,encap,892369,0
ML-KEM-512,decap,1083083,0
ML-KEM-768,keypair,1238625,0
ML-KEM-768,encap,1411508,0
ML-KEM-768,decap,1652497,0
ML-KEM-1024,keypair,1943093,0
ML-KEM-1024,encap,2168984,0
ML-KEM-1024,decap,2482550,0
HQC-128,keypair,40389887,0
HQC-128,encap,81674129,0
HQC-128,decap,126393972,0
HQC-192,keypair,123225966,0
HQC-192,encap,247913773,0
HQC-192,decap,376609504,0
HQC-256,keypair,225362719,0
HQC-256,encap,453323018,0
HQC-256,decap,691788548,0
ML-DSA-44,keypair,2750732,0
ML-DSA-44,sign,4626517,0
ML-DSA-44,verify,3423995,0
ML-DSA-65,keypair,4735672,0
ML-DSA-65,sign,14528873,0
ML-DSA-65,verify,5279766,0
